Name:,CHE CoalResource,,,,,,,
Date:,2021-08-06 16:54:30.411410,,,,,,,
Author:,Marc Jaxa-Rozen,,,,,,,
,,,,,,,,
Country,Entity,Parameter,Year,Period,Value,Unit,Reference,Note
CHE,CoalResource,CO2_generation,2009,,353.88,tonne/GWh,"IPCC 2006 Guidelines for National Greenhouse Gas Inventories, http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html",Anthracite
CHE,CoalResource,CO2_generation,2010,,353.88,tonne/GWh,"IPCC 2006 Guidelines for National Greenhouse Gas Inventories, http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html",Anthracite
CHE,CoalResource,CO2_generation,2011,,353.88,tonne/GWh,"IPCC 2006 Guidelines for National Greenhouse Gas Inventories, http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html",Anthracite
CHE,CoalResource,CO2_generation,2012,,353.88,tonne/GWh,"IPCC 2006 Guidelines for National Greenhouse Gas Inventories, http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html",Anthracite
CHE,CoalResource,CO2_generation,2013,,353.88,tonne/GWh,"IPCC 2006 Guidelines for National Greenhouse Gas Inventories, http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html",Anthracite
CHE,CoalResource,CO2_generation,2014,,353.88,tonne/GWh,"IPCC 2006 Guidelines for National Greenhouse Gas Inventories, http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html",Anthracite
CHE,CoalResource,CO2_generation,2015,,353.88,tonne/GWh,"IPCC 2006 Guidelines for National Greenhouse Gas Inventories, http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html",Anthracite
CHE,CoalResource,CO2_generation,2016,,353.88,tonne/GWh,"IPCC 2006 Guidelines for National Greenhouse Gas Inventories, http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html",Anthracite
CHE,CoalResource,CO2_generation,2017,,353.88,tonne/GWh,"IPCC 2006 Guidelines for National Greenhouse Gas Inventories, http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html",Anthracite
CHE,CoalResource,CO2_generation,2018,,353.88,tonne/GWh,"IPCC 2006 Guidelines for National Greenhouse Gas Inventories, http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html",Anthracite
CHE,CoalResource,CO2_generation,2019,,353.88,tonne/GWh,"IPCC 2006 Guidelines for National Greenhouse Gas Inventories, http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html",Anthracite
