"Canton","Vehicle group / type","Fuel","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Switzerland","... Farm truck","Petrol-electricity: plug-in hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Farm truck","Diesel-electricity: conventional hybrid",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Switzerland","... Farm truck","Diesel-electricity: plug-in hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Farm truck","Electricity",0,0,0,0,0,3,0,1,0,0,0,0,0,2,1,0,1
"Switzerland","... Farm truck","Hydrogen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Farm truck","Gas (monovalent and bivalent)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Farm truck","Other",5,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Farm truck","Without motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Walk-behind tractor","Petrol",77,58,60,87,76,76,72,73,69,77,57,62,70,43,33,51,60
"Switzerland","... Walk-behind tractor","Diesel",11,2,0,3,4,0,3,1,1,3,3,0,1,1,4,3,1
"Switzerland","... Walk-behind tractor","Petrol-electricity: conventional hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Walk-behind tractor","Petrol-electricity: plug-in hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Walk-behind tractor","Diesel-electricity: conventional hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Walk-behind tractor","Diesel-electricity: plug-in hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Walk-behind tractor","Electricity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Walk-behind tractor","Hydrogen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Walk-behind tractor","Gas (monovalent and bivalent)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Walk-behind tractor","Other",4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Walk-behind tractor","Without motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Farm ATV","Petrol",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Switzerland","... Farm ATV","Diesel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Farm ATV","Petrol-electricity: conventional hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Farm ATV","Petrol-electricity: plug-in hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Farm ATV","Diesel-electricity: conventional hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
