,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015-02-13,7858.21,6859.94,6756.55,6827.09,6805.1,6857.98,7404.66,8026.38,8369.49,8393.63,8373.82,8181.07,7964.79,7857.88,7657.66,7478.77,7392.21,7558.99,8068.39,7909.32,7436.99,7090.52,6955.95,6869.77
2015-02-14,6930.96,7003.39,7033.64,6861.45,6631.42,6601.55,6625.27,6641.52,6896.04,6902.01,6824.64,6788.06,6782.28,6780.73,7107.25,7049.71,6962.32,7088.34,7444.3,7204.74,6807.49,6813.07,6820.44,6570.65
2015-02-15,6378.01,6444.63,6602.21,6665.23,6445.3,6435.15,6253.1,6190.42,6430.02,6508.58,6654.64,6738.05,6727.4,6725.04,6662.61,6633.65,6807.89,6930.79,7354.74,7263.61,6951.89,6718.26,6569.74,6417.27
2015-02-16,6286.61,6319.66,6567.36,6769.45,6775.7,7048.88,7300.36,7927.05,8433.52,8592.03,8655.09,8557.52,8310.06,8303.64,8099.65,7957.74,7935.66,7947.47,8416.57,8150.07,7684.64,7345.35,7138.81,6902.52
2015-02-17,6736.24,6807.18,6885.68,7036.14,6930.84,6992.99,7443.32,8099.63,8503.49,8598.13,8634.91,8557.16,8291.33,8301.92,8114.6,8017.76,7999.72,8041.25,8433.85,8190.91,7721.61,7437.45,7236.71,6894.08
2015-02-18,6759.02,7016.74,6941.89,7054.69,7050.85,7080.1,7454.23,8165.1,8634.68,8771.8,8847.84,8787.71,8583.05,8591.6,8460.46,8348.1,8268.71,8252.23,8565.77,8325.88,7882.66,7536.72,7334.84,7061.15
2015-02-19,6053.54,6008.38,5891.38,5830.39,5739.88,5964.82,6560.77,7145.81,7489.22,7529.91,7503.08,7398.78,7072.98,6967.36,6785.22,6677.76,6590.54,6680.75,7260.9,7180.37,6816.64,6514.98,6402.12,7129.33
2015-02-20,6643.65,6584.29,6496.54,6747.94,6634.69,6621.81,7267.24,7835.62,8257.81,8328.76,8235.07,8103.06,7799.72,7691.43,7396.01,7222.89,7087.5,7195.92,7763.48,7696.64,7332.35,7042.36,6907.39,6263.89
2015-02-21,5189.56,5002.09,5119.22,5157.39,5004.56,5027.03,4926.52,4827.85,5125.83,5422.29,5543.8,5605.1,5676.8,5643.23,5531.67,5486.73,5530.68,5662.78,5900.18,5684.55,5377.86,5184.89,5190.05,6704.34
2015-02-22,6484.47,6403.93,6433.77,6402.87,6381.39,6322.88,6199.04,5969.76,5940.95,6217.4,6422.87,6511.09,6634.68,6978.02,6878.59,6787.6,7029.07,7120.86,7332.96,7354.59,7039.5,6840.51,6786.59,6599.26
2015-02-23,6609.38,6576.25,6781.91,6846.06,6708.41,7027.88,7372.82,7921.23,8381.65,8516.6,8692.45,8740.42,8526.6,8625.04,8505.54,8366.36,8239.55,8099.66,8499.25,8281.96,7792.7,7465.73,7210.28,7001.33
2015-02-24,6744.89,6848.86,6901.97,7186.48,7071.51,6767.49,7465.17,8149.58,8575.9,8647.99,8746.54,8770.58,8490.96,8487.35,8309.11,8186.74,8155.11,8082.3,8488.24,8357.65,7921.09,7587.76,7370.65,7109.63
2015-02-25,6620.48,6600.76,6559.11,6615.34,6416.32,6547.54,7206.11,7851.95,8206.47,8196.31,8243.06,8149.38,7915.77,7909.69,7715.17,7438.72,7292.76,7289.16,7776.4,7776.5,7387.67,7086.13,6910.34,7133.37
2015-02-26,6930.71,6922.31,6801.16,6880.57,6748.19,6980.39,7626.3,8148.32,8466.03,8389.81,8390.08,8303.3,8020.23,7971.21,7674.19,7476.46,7441.09,7573.37,8071.45,8031.95,7631.58,7290.18,7058.3,6886.36
2015-02-27,5824.26,5746.01,5576.37,5676.58,5850.65,5939.05,6456.02,7048.71,7494.0,7624.32,7752.43,7646.86,7471.77,7454.42,7364.26,7270.79,7048.26,7022.24,7036.36,6945.89,6661.98,6384.22,6282.12,6356.38
2015-02-28,5864.82,5729.66,5564.81,5521.47,5238.92,5354.12,5366.22,5447.25,5780.16,6033.32,6047.13,6030.68,6105.07,6269.29,6036.06,5824.51,5781.77,5886.4,6275.75,6245.2,5992.51,5793.62,5761.51,6643.78
2015-03-01,6022.97,5967.95,6173.4,6033.77,5811.21,5793.0,5736.84,5647.35,5884.95,6116.06,6021.3,6093.69,6266.94,6249.65,6053.66,5969.35,6172.51,6067.58,6430.7,6396.48,6097.2,5950.94,5910.0,6667.71
2015-03-02,6676.33,6546.6,6545.53,6536.14,6420.09,6978.56,7192.45,7901.53,8400.18,8510.79,8676.5,8825.03,8545.1,8525.49,8366.99,8216.14,7995.86,8000.98,8343.82,8251.13,7783.27,7474.12,7231.67,6945.98
2015-03-03,6799.3,6976.88,7090.7,7252.87,6697.35,7033.39,7756.4,8302.13,8597.13,8435.04,8452.58,8479.68,8065.9,8066.66,7957.68,7806.8,7797.12,7856.78,8353.71,8301.73,7825.59,7453.89,7183.93,6799.57
2015-03-04,6597.58,6647.32,6524.84,6599.19,6505.76,6844.08,7576.01,12354.54,8757.43,8810.97,8872.86,8874.61,8464.06,8448.34,8320.23,8243.34,8272.92,8236.65,8624.06,8651.79,8167.47,7770.13,7474.6,7051.38
2015-03-05,6836.54,6805.46,6694.48,6675.1,6538.9,6867.49,7627.72,8256.44,8641.1,8593.94,8661.08,8683.01,8339.33,8309.55,8135.72,7969.52,7945.51,7923.8,8389.88,8492.24,8036.38,7661.33,7409.39,7003.09
2015-03-06,6848.74,6815.95,6711.07,6687.41,6543.26,6915.96,7623.18,8161.73,8477.8,8412.69,8420.48,8393.1,8075.36,7981.46,7794.54,7581.87,7378.84,7521.83,8063.15,8190.76,7739.18,7427.03,7254.86,6906.64
2015-03-07,6763.03,6707.74,6580.72,6804.99,6622.88,6617.76,6445.29,6348.8,6630.72,6792.26,6824.06,6851.18,6990.67,7000.5,7035.61,6893.0,6879.27,6839.84,7131.78,7364.92,6936.47,6682.26,6592.09,6338.8
2015-03-08,6155.86,6128.12,6279.31,6373.68,6410.17,6501.22,6375.18,6158.78,6394.2,6543.85,6649.21,6682.14,6741.72,6523.05,6276.1,6185.25,6314.42,6715.69,7182.34,6991.63,6713.56,6462.69,6291.56,5997.03
2015-03-09,6167.03,6295.53,6401.11,6554.28,6539.62,6504.87,7347.12,7938.71,8275.67,8186.26,8193.39,8252.6,7756.08,7762.45,7569.16,7431.4,7400.93,7408.58,7923.52,8034.81,7572.48,7224.87,6954.85,6508.59
2015-03-10,6183.98,6278.08,6257.99,6310.29,6297.37,6522.29,7270.33,7779.13,8021.13,7559.14,7532.58,7561.19,7112.19,7205.68,7087.0,6980.98,6923.27,6857.08,7326.81,7350.1,6894.64,6527.16,6258.88,6406.34
2015-03-11,5622.35,5742.23,5591.47,5675.72,5751.8,5926.08,6484.91,7165.82,7590.06,7489.46,7486.78,7434.82,7208.95,7096.1,7001.63,6820.96,6655.11,6630.85,7188.7,7340.05,6901.8,6550.23,6297.87,6523.99
2015-03-12,6347.21,6491.55,6437.61,6558.83,6393.27,6564.23,7213.79,7703.09,7960.48,7908.08,7909.45,7918.43,7489.28,7487.23,7363.01,7263.0,7217.76,7168.65,7634.13,7873.88,7453.49,7054.1,6786.22,6427.07
2015-03-13,5146.22,5316.47,5261.07,5413.05,5384.51,5536.57,5858.67,6356.43,6596.97,6590.21,6597.97,6591.71,6239.21,6152.31,6015.34,5875.94,5794.48,5847.7,6251.35,6371.28,6020.71,5729.65,5647.93,5469.95
2015-03-14,4713.08,4598.46,4588.29,4700.29,4497.65,4565.45,4511.7,4496.27,4782.33,4958.23,4984.82,5035.8,4986.49,4911.7,4911.14,4902.52,5019.92,5063.01,5169.27,5283.48,5023.74,4852.55,4851.53,5812.2
2015-03-15,5546.16,5436.51,5548.01,5655.1,5521.14,5524.19,5453.17,5395.38,5749.0,6042.82,6143.72,6046.43,5928.38,5904.48,5794.81,5776.64,5960.79,5763.29,6296.36,6493.95,6215.45,5981.22,5812.96,5626.55
2015-03-16,5024.04,5126.11,5112.91,5239.2,5348.02,5504.02,6226.71,6856.71,7284.51,7302.75,7268.28,7246.86,6840.58,6857.49,6754.92,6645.39,6581.3,6478.63,6838.68,6975.42,6551.0,6265.72,6028.15,6153.12
2015-03-17,5620.33,5533.11,5434.62,5427.12,5381.59,5825.56,6569.6,7136.32,7420.19,7413.56,7473.7,7517.68,7054.88,7042.97,6896.17,6780.08,6681.92,6586.64,6950.22,7184.92,6783.06,6474.51,6203.54,6080.44
2015-03-18,5707.97,5645.17,5547.17,5641.41,5620.3,6036.95,6613.87,7092.22,7344.02,7318.4,7313.4,7371.54,6921.65,6865.99,6745.09,6572.72,6485.13,6457.95,6868.49,7071.78,6660.75,6328.03,6090.97,6198.43
2015-03-19,5459.52,5487.34,5434.85,5410.92,5365.59,5631.73,6166.28,6505.75,6764.81,6701.3,6718.5,6794.82,6465.52,6372.65,6275.07,6198.9,6150.36,6198.05,6513.43,6771.88,6407.13,6076.53,5873.71,5594.88
2015-03-20,4046.86,4163.46,4190.2,4234.13,4201.26,4510.14,4614.62,4926.93,5186.5,5221.81,5370.11,5396.9,5169.8,5153.09,4834.6,4799.61,4695.54,4694.28,4918.34,5027.86,4770.75,4491.71,4399.14,4283.18
2015-03-21,4051.3,3921.87,3847.73,3855.12,3693.29,3621.12,3747.36,3890.71,4235.62,4461.42,4552.64,4594.23,4577.22,4556.99,4524.85,4556.09,4694.09,4631.5,4797.53,4718.98,4458.13,4244.14,4236.14,4831.34
2015-03-22,4554.37,4688.52,4783.17,4726.57,4598.03,4682.3,4704.56,5739.22,4891.17,5137.65,5312.64,5419.75,5488.2,5274.34,5160.99,5133.31,5224.92,5482.73,5396.3,5434.69,5203.45,4996.64,4887.86,5960.24
2015-03-23,5675.69,5640.42,5546.28,5568.81,5557.08,6047.98,6596.21,7175.77,7548.63,7502.03,7543.05,7553.25,7109.21,7068.95,6920.59,6745.21,6697.37,6640.67,6962.7,7311.01,6943.15,6620.3,6344.22,6222.65
2015-03-24,5770.38,5774.27,5734.42,5777.52,5663.31,6070.18,6669.55,7230.67,7514.53,7436.28,7428.6,7593.0,7076.98,7096.07,7013.32,6873.66,6771.7,6726.82,7063.92,7386.49,7012.26,6711.48,6357.67,6240.09
2015-03-25,5686.15,5608.5,5560.31,5574.38,5587.27,5980.83,6637.13,7187.3,7558.68,7486.47,7581.67,7761.7,7379.55,7466.26,7420.8,7417.02,7392.34,7331.13,7624.61,7611.15,7166.97,6825.17,6502.9,6347.46
2015-03-26,5695.37,5644.44,5576.72,5558.37,5549.86,5855.24,6543.68,7123.46,7428.86,7524.83,7649.02,7807.24,7451.92,7458.0,7414.57,7307.08,7200.13,7105.9,7277.56,7325.27,6901.93,6613.76,6308.38,5952.82
2015-03-27,5124.94,5065.52,5000.54,5024.3,4916.85,5242.32,5802.31,6319.55,6615.37,6561.49,6616.26,6705.69,6360.63,6280.59,6109.44,5957.84,5860.62,5828.95,5981.44,6230.14,5950.61,5705.9,5536.72,5293.76
2015-03-28,3085.25,2959.37,3087.8,3230.53,3164.58,3175.69,3135.93,3064.42,3166.76,3349.91,3485.38,3559.44,3394.49,3519.03,3494.01,3487.63,3512.91,3581.55,3440.44,3314.0,3137.29,2975.04,3084.4,4778.88
2015-03-29,4401.6,4261.55,4189.8733,4118.1967,4046.52,4113.38,4109.85,4255.01,4507.13,4672.11,4821.7,4955.59,4697.68,4612.13,4558.93,4541.05,4791.79,5020.82,5012.55,4898.37,4756.15,4753.37,6121.24,5716.16
2015-03-30,5430.71,5346.94,5329.55,5319.05,5776.35,6044.22,6615.4,6992.56,8094.81,7109.13,7274.53,6895.33,6861.24,6699.96,6590.26,6553.03,6431.69,6583.0,6470.4,6440.92,6203.86,5938.4,6669.3,6086.07
2015-03-31,7010.44,5987.94,5992.13,5767.43,6141.77,6705.76,7108.57,7415.55,7331.53,7480.98,7643.99,7191.89,7252.47,7163.44,7091.63,7114.21,6944.4,6904.96,6809.7,6925.71,6680.03,6412.77,6434.76,6078.5
2015-04-01,6296.66,6248.79,6247.42,6121.3,6448.19,6689.78,7367.31,7751.12,7866.38,8010.44,8027.83,7781.4,7757.56,7611.39,7389.46,7260.74,7044.92,7109.14,7138.1,7154.26,6892.63,6617.75,6431.5,5193.14
2015-04-02,5129.07,5232.48,5387.75,5273.89,5197.77,5687.73,6258.32,6608.35,6676.36,6708.66,6725.69,6409.57,6379.93,6226.6,6039.21,5864.33,5726.98,5753.91,5736.61,5673.54,5471.38,5318.81,5238.79,4743.25
2015-04-03,4766.98,4693.35,5076.35,4795.04,4338.31,4229.19,4111.44,4263.69,4427.3,4461.51,4415.56,4494.9,4254.38,4074.79,4008.37,4090.51,4293.95,4473.29,4584.2,4680.82,4641.4,4671.7,4548.62,3801.79
2015-04-04,3867.87,3647.07,3534.8,3408.64,3464.12,3426.27,3471.97,3711.75,3926.98,4031.77,4082.17,4141.11,4155.62,4087.58,4040.2,4143.46,4283.75,4367.19,4347.81,4217.13,4053.78,4023.61,4212.66,4245.34
2015-04-05,4105.68,4083.81,4052.89,3975.16,4008.01,3953.46,3881.28,4027.52,4158.02,4174.95,4146.46,4220.82,4110.31,3998.98,3980.83,4017.53,4108.38,4223.74,4344.24,4309.98,4148.14,4088.64,5320.32,5182.35
2015-04-06,5140.89,5127.14,5105.82,4976.88,4975.63,4932.99,4841.89,4934.35,5047.26,5091.67,5160.12,5281.44,5119.98,4986.45,4966.77,5054.01,5194.74,5349.67,5299.11,5178.4,5204.07,5188.27,5935.46,5679.23
2015-04-07,5829.89,5892.49,5930.13,5809.99,5894.21,6428.57,6894.39,7224.17,7230.27,7192.85,7106.65,6878.25,6916.09,6786.53,6723.6,6653.5,6388.44,6552.93,6431.07,6494.59,6442.78,6181.95,6282.87,5937.4
