Canton,Vehicle group / type,Year of first registration,Fuel,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Switzerland,> Goods vehicles,2019,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2559,3928,4201
Switzerland,> Goods vehicles,2019,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24280,33155,33575
Switzerland,> Goods vehicles,2019,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,560,563
Switzerland,> Goods vehicles,2019,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,211,214
Switzerland,> Goods vehicles,2019,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,> Goods vehicles,2020,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1408,1756
Switzerland,> Goods vehicles,2020,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20226,25893
Switzerland,> Goods vehicles,2020,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,706
Switzerland,> Goods vehicles,2020,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,273
Switzerland,> Goods vehicles,2020,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,> Goods vehicles,2021,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1688
Switzerland,> Goods vehicles,2021,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21690
Switzerland,> Goods vehicles,2021,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955
Switzerland,> Goods vehicles,2021,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244
Switzerland,> Goods vehicles,2021,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Delivery vehicle,Before 1960,Petrol,311,304,301,293,281,292,287,283,282,275,287,278,275,262,265,258,315,316,342,330,325,345,371,384,434,462,530,550,608,646,667,700
Switzerland,... Delivery vehicle,Before 1960,Diesel,81,128,133,133,136,129,116,112,112,109,99,87,78,74,71,68,77,76,58,56,54,54,50,48,50,52,61,63,62,63,68,63
