Date,Month,Year,SensedHourlyLoadData_1,SensedHourlyLoadData_2,SensedHourlyLoadData_3,SensedHourlyLoadData_4,SensedHourlyLoadData_5,SensedHourlyLoadData_6,SensedHourlyLoadData_7,SensedHourlyLoadData_8,SensedHourlyLoadData_9,SensedHourlyLoadData_10,SensedHourlyLoadData_11,SensedHourlyLoadData_12,SensedHourlyLoadData_13,SensedHourlyLoadData_14,SensedHourlyLoadData_15,SensedHourlyLoadData_16,SensedHourlyLoadData_17,SensedHourlyLoadData_18,SensedHourlyLoadData_19,SensedHourlyLoadData_20,SensedHourlyLoadData_21,SensedHourlyLoadData_22,SensedHourlyLoadData_23,SensedHourlyLoadData_24
28,11,2015,12196,11553,11172,11035,11030,11135,11611,12602,13556,14370,14621,14570,14403,14270,14214,14316,15064,16056,15599,15072,14403,13735,13102,12416
29,11,2015,11770,11167,10736,10497,10484,10564,10758,11249,12066,12787,13309,13804,14221,14349,14173,13988,14487,15448,15253,14910,14368,13692,12933,11971
30,11,2015,11377,10965,10769,10742,10884,11419,12913,15205,16491,17033,17158,17317,17337,17482,17450,17505,18080,18388,17582,17061,16134,15189,14119,13086
1,12,2015,12188,11638,11387,11258,11350,11788,13285,15465,16771,17153,17243,17303,17118,17200,17180,17079,17489,18068,17324,16794,15909,15027,13946,12973
2,12,2015,12108,11509,11246,11139,11169,11607,13068,15400,16738,17109,17120,17106,17033,17096,17004,16972,17438,18170,17472,16944,15988,15061,13959,12997
3,12,2015,12161,11600,11293,11162,11242,11656,13131,15516,16714,17008,17099,17070,16809,16784,16860,16932,17371,18184,17534,17042,16187,15153,13981,13084
4,12,2015,12276,11689,11368,11297,11399,11866,13266,15484,16733,17053,16868,16677,16339,16363,16376,16410,16790,17791,17218,16590,15677,14699,13725,12976
5,12,2015,12174,11524,11120,10936,10910,11058,11608,12573,13640,14618,15119,15239,15050,14906,14699,14604,15090,15783,15368,14824,14168,13596,13030,12359
6,12,2015,11460,10915,10611,10546,10479,10612,10863,11415,12023,12851,13346,13662,13934,13986,13887,13954,14589,15485,15379,14992,14365,13696,12890,12011
7,12,2015,11319,10897,10738,10680,10799,11332,12781,15175,16578,16944,17002,17066,16867,16845,16703,16626,17189,18100,17427,16891,16030,15080,13965,12948
8,12,2015,12105,11536,11268,11188,11265,11728,13182,15470,16702,16909,16702,16581,16461,16625,16761,16978,17681,18214,17542,16992,16133,15254,14158,13152
9,12,2015,12231,11637,11377,11261,11311,11788,13185,15580,16945,17150,17028,16804,16525,16607,16677,16865,17466,18564,17821,17226,16311,15403,14282,13203
10,12,2015,12349,11775,11481,11383,11471,11948,13365,15734,17036,17379,17399,17333,17118,17093,17152,17239,17852,18442,17888,17392,16541,15473,14313,13324
11,12,2015,12422,11777,11477,11389,11407,11909,13312,15658,17233,17726,17771,17853,17665,17553,17436,17284,17743,18220,17502,16838,15980,14989,14044,13233
12,12,2015,12251,11681,11306,11121,11072,11201,11768,12776,13951,14753,15077,15143,15091,14960,14851,14942,15659,16356,15925,15392,14771,14080,13383,12605
13,12,2015,11866,11283,10904,10775,10719,10705,10941,11463,12252,13002,13482,13844,14049,13964,13883,13930,14677,15804,15630,15261,14721,13957,13135,12189
14,12,2015,11486,11032,10865,10836,10936,11490,13022,15441,17020,17301,17234,17173,16928,17037,17067,17222,17914,18522,17800,17275,16391,15424,14224,13213
15,12,2015,12325,11747,11429,11310,11391,11855,13318,15677,16982,17275,17209,17037,16706,16871,16959,17097,17757,18457,17711,17204,16339,15352,14200,13147
16,12,2015,12207,11613,11359,11217,11256,11712,13145,15550,17131,17397,17642,17640,17440,17564,17476,17541,18034,18507,17650,17032,16238,15357,14247,13273
17,12,2015,12339,11720,11402,11262,11273,11732,13168,15471,16871,17106,17090,17049,16638,16760,16782,16818,17458,18078,17451,16926,16189,15260,14191,13226
18,12,2015,12328,11658,11331,11242,11232,11667,13001,15234,16685,17016,17107,17057,16853,16891,16776,16673,17146,17767,17100,16378,15640,14710,13812,13049
19,12,2015,12216,11529,11108,10941,10839,11037,11570,12529,13780,14639,15051,15205,15065,14812,14626,14563,15127,16130,15768,15193,14517,13821,13131,12390
20,12,2015,11712,11124,10772,10533,10451,10507,10767,11299,12129,12778,13286,13644,13819,13746,13572,13663,14347,15321,15195,14858,14369,13789,13039,12176
21,12,2015,11483,11014,10742,10731,10861,11347,12589,14310,15974,16491,16711,16743,16578,16669,16589,16631,17261,17968,17318,16800,15909,15070,14022,13038
22,12,2015,12176,11559,11206,11078,11139,11542,12751,14539,16198,16808,17047,17050,16926,16906,16809,16822,17343,17895,17253,16722,15954,14992,14020,13132
23,12,2015,12284,11625,11276,11168,11199,11619,12771,14424,15890,16413,16536,16453,16248,16158,16085,16100,16569,17641,17170,16700,15996,15077,14100,13210
24,12,2015,12284,11602,11223,11042,11081,11476,12526,14019,15434,16044,16386,16382,15962,15679,15503,15281,15833,16479,15809,15119,14288,13609,12966,12475
25,12,2015,11698,11066,10645,10450,10415,10519,10870,11339,12167,12788,13247,13451,13525,13392,13270,13235,13688,14447,14433,13913,13486,13086,12640,12108
26,12,2015,11394,10732,10359,10170,10124,10231,10556,11106,11867,12569,13128,13284,13229,13031,12896,12869,13423,14535,14449,13987,13526,13045,12545,11878
27,12,2015,11263,10672,10350,10187,10148,10239,10518,11072,11872,12548,13121,13637,13984,14008,13926,13922,14499,15388,15175,14727,14146,13512,12936,12141
28,12,2015,11429,10922,10624,10585,10663,11091,12140,13500,14857,15373,15554,15631,15518,15377,15313,15374,16077,17304,16672,16097,15325,14502,13613,12738
29,12,2015,11947,11280,10948,10808,10860,11238,12279,13777,15014,15651,15864,15913,15814,15804,15710,15679,16228,17192,16596,16032,15343,14532,13626,12832
30,12,2015,11991,11364,11048,10872,10891,11165,12116,13530,14745,15300,15457,15391,15212,15247,15230,15327,15904,17043,16582,16051,15342,14539,13601,12811
31,12,2015,12058,11303,10908,10727,10772,11116,11917,13107,14362,15100,15371,15264,15021,14877,14682,14530,14745,15678,15269,14528,13601,12871,12357,12137
