Date,Month,Year,SensedHourlyLoadData_1,SensedHourlyLoadData_2,SensedHourlyLoadData_3,SensedHourlyLoadData_4,SensedHourlyLoadData_5,SensedHourlyLoadData_6,SensedHourlyLoadData_7,SensedHourlyLoadData_8,SensedHourlyLoadData_9,SensedHourlyLoadData_10,SensedHourlyLoadData_11,SensedHourlyLoadData_12,SensedHourlyLoadData_13,SensedHourlyLoadData_14,SensedHourlyLoadData_15,SensedHourlyLoadData_16,SensedHourlyLoadData_17,SensedHourlyLoadData_18,SensedHourlyLoadData_19,SensedHourlyLoadData_20,SensedHourlyLoadData_21,SensedHourlyLoadData_22,SensedHourlyLoadData_23,SensedHourlyLoadData_24
29,3,2015,10912,10323,10323,10031,9978,9959,10103,10334,10953,11752,12440,13002,13344,13402,13199,13214,13307,13720,13879,13771,14092,13587,12830,11827
30,3,2015,10975,10494,10290,10267,10402,10916,12359,14190,15483,15866,16014,16045,15770,15771,15507,15245,15111,15137,14686,14652,15210,14677,13571,12546
31,3,2015,11545,11003,10771,10678,10731,11171,12631,14336,15537,16074,16174,16100,15803,15717,15412,15150,15155,15397,14909,14862,15099,14664,13580,12571
1,4,2015,11464,10829,10529,10463,10541,11004,12399,14230,15517,16036,16099,16101,15852,15848,15728,15473,15331,15422,14871,14797,15106,14620,13496,12522
2,4,2015,11595,11002,10665,10519,10544,11034,12496,14340,15551,15892,15820,15779,15455,15402,15280,15264,15310,15461,15077,14947,15269,14779,13706,12719
3,4,2015,11735,11090,10765,10608,10703,11096,12284,13686,15045,15613,15711,15657,15347,15239,15036,14718,14676,14884,14486,14142,14337,14006,13125,12404
4,4,2015,11519,10872,10505,10296,10260,10385,10896,11586,12651,13725,14020,13967,13618,13160,12850,12698,12858,13259,13301,13170,13443,13289,12581,11845
5,4,2015,11065,10468,10115,9891,9881,9941,10108,10368,11003,11395,11564,11474,11408,11202,10978,10838,10964,11692,12182,12178,12633,12772,12276,11491
6,4,2015,10734,10204,9899,9752,9785,9948,10318,10696,11549,12455,12982,13090,13035,12715,12413,12197,12201,12716,12818,12761,13188,13260,12548,11630
7,4,2015,10849,10382,10249,10185,10305,10784,12245,14028,15339,15877,15911,15907,15620,15561,15360,15162,15122,15209,14807,14626,14867,14600,13497,12478
8,4,2015,11540,10997,10730,10652,10683,11067,12364,14216,15591,16124,16162,15993,15626,15449,15216,14990,14969,15156,14594,14362,14452,14399,13412,12490
9,4,2015,11500,10903,10630,10531,10588,11017,12284,13980,15139,15476,15321,15177,14929,14961,14818,14669,14729,14922,14568,14361,14497,14401,13396,12415
10,4,2015,11464,10892,10643,10499,10552,10955,12135,13851,15091,15390,15274,15189,14911,14796,14548,14316,14284,14480,14061,13759,13905,13806,12937,12166
11,4,2015,11267,10611,10239,10012,9950,10040,10439,11070,12049,12895,13452,13760,13671,13322,13096,13124,13192,13266,13079,12805,12902,12932,12395,11639
12,4,2015,10808,10186,9892,9726,9689,9710,9902,10120,10754,11282,11635,11688,11743,11520,11222,11007,11191,11928,12384,12442,12783,12854,12208,11317
13,4,2015,10546,10022,9867,9868,9990,10494,11838,13574,14805,15212,15147,15175,15012,15038,14829,14627,14624,14704,14165,13948,14029,14176,13200,12189
14,4,2015,11197,10606,10348,10223,10278,10723,11915,13721,14824,15222,15166,14987,14677,14727,14616,14512,14574,14730,14252,13984,13970,14150,13235,12233
15,4,2015,11268,10621,10351,10239,10281,10703,11898,13508,14717,15077,15092,14992,14816,14829,14706,14598,14565,14711,14169,13888,13907,14122,13237,12268
16,4,2015,11331,10731,10454,10359,10379,10728,11905,13613,14769,15245,15204,15108,14876,14867,14755,14642,14769,14864,14470,14251,14265,14290,13261,12316
17,4,2015,11345,10763,10509,10402,10416,10815,11939,13618,14931,15428,15473,15491,15243,15081,14831,14596,14513,14585,14130,13823,13718,13827,13002,12210
18,4,2015,11344,10691,10294,10126,10019,10142,10472,11127,11968,12644,12831,12732,12556,12292,12022,11826,11899,12332,12479,12422,12457,12722,12232,11521
19,4,2015,10799,10281,10006,9871,9817,9858,9871,10108,10804,11390,11743,11932,11949,11673,11361,11161,11221,11879,12277,12317,12439,12851,12282,11399
20,4,2015,10651,10174,10028,9959,10074,10576,11778,13581,14722,15053,14985,14958,14802,14820,14678,14606,14643,14760,14224,13978,13856,14169,13293,12349
21,4,2015,11407,10791,10519,10430,10458,10896,11905,13688,14820,15183,15160,15081,14807,14793,14697,14612,14660,14822,14160,13904,13916,14261,13429,12464
22,4,2015,11512,10873,10617,10498,10535,10930,11972,13756,15038,15668,15823,15792,15560,15536,15338,15106,15062,15273,14654,14360,14205,14371,13504,12531
23,4,2015,11560,10919,10638,10519,10481,10906,12089,13803,15086,15551,15648,15491,15179,15032,14833,14716,14718,14792,14392,14195,14087,14340,13519,12541
24,4,2015,11599,10982,10681,10544,10589,10928,11971,13729,14841,15175,15241,15263,15068,14980,14818,14628,14573,14624,14246,13948,13686,13782,13059,12351
25,4,2015,11472,10779,10320,10180,10125,10232,10507,11189,12199,13170,13518,13651,13600,13302,13084,13090,13033,13188,13046,12764,12529,12808,12357,11657
26,4,2015,10921,10325,9989,9854,9752,9776,9727,10061,10820,11512,12076,12451,12605,12448,12237,12114,12180,12592,12726,12539,12427,12590,12159,11378
27,4,2015,10680,10166,9901,9798,9819,9985,10161,10709,11349,11854,12000,11917,11821,11512,11256,11155,11344,11970,12155,12167,12190,12719,12396,11604
28,4,2015,10881,10355,10148,10128,10213,10646,11692,13407,14647,15196,15363,15497,15390,15333,15095,14964,14892,14929,14325,14137,13876,14162,13496,12548
29,4,2015,11586,10981,10680,10560,10607,11020,11937,13607,14845,15294,15347,15317,15258,15287,15254,15285,15298,15404,14676,14407,14265,14281,13410,12535
30,4,2015,11607,11002,10694,10573,10619,11015,12010,13676,14855,15430,15556,15551,15407,15399,15201,14924,14809,14880,14569,14345,14123,14242,13568,12606
1,5,2015,11647,11046,10782,10652,10715,11063,11927,13489,14741,15307,15400,15442,15229,15110,14957,14696,14636,14685,14308,13997,13701,13786,13266,12480
2,5,2015,11596,10961,10638,10515,10438,10498,10677,11353,12146,12935,13135,13119,12873,12570,12306,12096,12183,12501,12643,12631,12531,12737,12460,11758
3,5,2015,11043,10448,10125,9983,9870,9847,9728,10089,10739,11400,11847,12197,12524,12598,12553,12483,12516,13012,13003,12768,12558,12745,12558,11710
4,5,2015,10997,10495,10239,10107,10152,10510,11375,12835,14172,14760,14973,15060,14839,14771,14621,14497,14530,14566,14087,13698,13342,13721,13180,12477
5,5,2015,11597,10940,10634,10519,10537,10629,10888,11758,12707,13351,13628,13717,13837,14012,13766,13364,13216,13358,13188,12972,12766,13018,12861,12202
6,5,2015,11398,10760,10457,10349,10420,10736,11593,13063,14290,14929,15176,15331,15269,15354,15183,15088,15016,15117,14439,14170,13820,13859,13298,12514
7,5,2015,11567,10967,10664,10593,10596,10950,11747,13159,14440,15045,15170,15169,14936,14910,14824,14768,14729,14773,14321,14104,13828,13836,13373,12557
8,5,2015,11605,11040,10702,10579,10650,10940,11732,13252,14623,15207,15373,15370,15098,14929,14901,14742,14643,14726,14341,14039,13729,13675,13206,12542
9,5,2015,11624,10969,10601,10405,10356,10375,10533,11253,12292,13170,13450,13418,13278,13022,12818,12773,12939,13237,13148,12893,12602,12656,12484,11809
10,5,2015,11024,10483,10129,9961,9861,9763,9651,9982,10655,11225,11533,11558,11549,11407,11232,11146,11297,11858,12218,12235,12222,12489,12473,11648
11,5,2015,10947,10505,10287,10240,10348,10751,11729,13363,14718,15271,15367,15501,15408,15490,15381,15167,15135,15179,14668,14262,13845,13855,13502,12602
12,5,2015,11677,11004,10759,10641,10632,10878,11684,13435,14769,15323,15414,15394,15243,15214,15147,14893,14852,14944,14325,13969,13611,13626,13411,12567
13,5,2015,11643,10995,10707,10564,10587,10796,11743,13318,14535,15076,15184,15206,15028,15004,14841,14717,14622,14690,14157,13771,13431,13338,13085,12367
14,5,2015,11363,10695,10382,10246,10171,10116,10156,10625,11251,11877,12171,12228,12195,12006,11782,11655,11811,12327,12487,12362,12256,12343,12284,11638
15,5,2015,10906,10363,10122,10028,10061,10182,10790,11880,12976,13668,13885,13819,13616,13379,13161,13067,13180,13602,13411,13209,12929,12833,12744,12164
16,5,2015,11281,10658,10302,10110,10065,10060,10240,10941,11880,12909,13481,13650,13596,13420,13015,12764,12641,12858,12861,12658,12391,12326,12383,11729
17,5,2015,11036,10448,10104,9947,9870,9724,9634,9926,10492,11100,11512,11787,11908,11707,11472,11362,11569,12238,12470,12391,12266,12237,12323,11578
18,5,2015,10850,10372,10165,10138,10221,10537,11552,13323,14726,15241,15407,15677,15622,15659,15621,15648,15758,15782,15122,14666,14087,13750,13430,12540
19,5,2015,11622,10991,10650,10578,10590,10806,11737,13529,14692,15250,15337,15423,15314,15416,15274,15166,15250,15277,14713,14360,13894,13651,13465,12666
