"Canton","Vehicle group / type","Fuel","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Switzerland","... Minibus","Diesel-electricity: plug-in hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Minibus","Electricity",1,2,0,1,1,1,2,1,0,0,0,2,3,2,2,7,5
"Switzerland","... Minibus","Hydrogen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Minibus","Gas (monovalent and bivalent)",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Switzerland","... Minibus","Other",16,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Minibus","Without motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Articulated bus","Petrol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Articulated bus","Diesel",73,69,81,218,114,64,155,73,94,102,187,115,145,122,68,103,99
"Switzerland","... Articulated bus","Petrol-electricity: conventional hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Articulated bus","Petrol-electricity: plug-in hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Articulated bus","Diesel-electricity: conventional hybrid",0,0,2,0,2,0,1,1,0,1,2,22,13,5,6,48,44
"Switzerland","... Articulated bus","Diesel-electricity: plug-in hybrid",0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
"Switzerland","... Articulated bus","Electricity",0,0,0,0,0,0,0,0,1,0,0,0,3,13,2,16,22
"Switzerland","... Articulated bus","Hydrogen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Articulated bus","Gas (monovalent and bivalent)",0,11,18,20,4,28,0,0,0,1,0,0,0,0,0,0,0
"Switzerland","... Articulated bus","Other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Articulated bus","Without motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","> Motorcycles","Petrol",44927,45464,47698,48244,44104,41566,45626,46928,45027,45654,50075,46768,46242,42281,40205,47160,53659
"Switzerland","> Motorcycles","Diesel",89,67,73,63,48,52,73,36,49,39,37,37,28,33,59,50,45
"Switzerland","> Motorcycles","Petrol-electricity: conventional hybrid",0,1,1,5,3,32,8,7,15,6,1,2,1,1,2,0,1
"Switzerland","> Motorcycles","Petrol-electricity: plug-in hybrid",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","> Motorcycles","Diesel-electricity: conventional hybrid",0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
"Switzerland","> Motorcycles","Diesel-electricity: plug-in hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","> Motorcycles","Electricity",127,73,129,459,762,1380,2420,2829,2232,1822,1673,1366,982,1539,2387,2908,2850
"Switzerland","> Motorcycles","Hydrogen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","> Motorcycles","Gas (monovalent and bivalent)",0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0
"Switzerland","> Motorcycles","Other",87,60,36,2,0,1,3,3,0,0,1,2,0,0,1,1,1
"Switzerland","> Motorcycles","Without motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
